"notebook","label"
"1 Intro to Data","id-vars-numerical-1"
"1 Intro to Data","id-vars-numerical-2"
"1 Intro to Data","id-vars-numerical-3"
"1 Intro to Data","plots-associations-questions-cat"
"1 Intro to Data","plots-associations-questions-num-1"
"1 Intro to Data","plots-associations-questions-num-2"
"1 Intro to Data","plots-associations-questions-num-3"
"10 Introduction to Inference Lab","ci-assumption-1"
"10 Introduction to Inference Lab","ci-assumption-2"
"10 Introduction to Inference Lab","eda-questions-1"
"10 Introduction to Inference Lab","eda-questions-2"
"10 Introduction to Inference Lab","eda-questions-3"
"10 Introduction to Inference Lab","eda-questions-4"
"10 Introduction to Inference Lab","eda-questions-5"
"10 Introduction to Inference Lab","eda-questions-6"
"10 Introduction to Inference Lab","explore-ames-questions-1"
"10 Introduction to Inference Lab","explore-ames-questions-2"
"10 Introduction to Inference Lab","explore-ames-questions-3"
"10 Introduction to Inference Lab","interp-point-est"
"10 Introduction to Inference Lab","plot-samps-questions-1"
"10 Introduction to Inference Lab","plot-samps-questions-2"
"10 Introduction to Inference Lab","prop-ci-contain-param"
"10 Introduction to Inference Lab","samp-means-50-questions-1"
"10 Introduction to Inference Lab","samp-means-50-questions-2"
"10 Introduction to Inference Lab","samp-means-50-questions-3"
"10 Introduction to Inference Lab","sample-means-small-question-1"
"10 Introduction to Inference Lab","sample-means-small-question-2"
"10 Introduction to Inference Lab","size-of-samples"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","build-ci-questions-1"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","build-ci-questions-2"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","build-ci-questions-3"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","build-ci-questions-4"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","build-ci-questions-5"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","build-ci-questions-6"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","clt-prop-1"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","clt-prop-2"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","clt-prop-3"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","clt-prop-4"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","clt-prop-5"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","dreamers-q1-1"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","dreamers-q1-2"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","dreamers-q1-3"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-1"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-2"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-3"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-4"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-5"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-6"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-7"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-8"
"11 Hypothesis Tests and Confidence Intervals for Categorical Data","ht-questions-9"
"12 Inference Practice I","try-it-1a-question-1"
"12 Inference Practice I","try-it-1a-question-10"
"12 Inference Practice I","try-it-1a-question-11"
"12 Inference Practice I","try-it-1a-question-2"
"12 Inference Practice I","try-it-1a-question-3"
"12 Inference Practice I","try-it-1a-question-4"
"12 Inference Practice I","try-it-1a-question-5"
"12 Inference Practice I","try-it-1a-question-6"
"12 Inference Practice I","try-it-1a-question-7"
